inventory_fact_id,time_key,item_key,store_key,quantity_on_hand
1,20250101,1,1,182
2,20250101,2,1,92
3,20250101,3,1,157
4,20250101,4,1,98
5,20250101,5,1,82
6,20250101,6,1,113
7,20250101,7,1,51
8,20250101,8,1,105
9,20250101,9,1,81
10,20250101,10,1,189
11,20250101,11,1,130
12,20250101,12,1,104
13,20250101,13,1,112
14,20250101,14,1,110
15,20250101,15,1,148
16,20250101,16,1,57
17,20250101,17,1,148
18,20250101,18,1,195
19,20250101,19,1,76
20,20250101,20,1,57
21,20250101,1,2,157
22,20250101,2,2,163
23,20250101,3,2,126
24,20250101,4,2,176
25,20250101,5,2,78
26,20250101,6,2,120
27,20250101,7,2,171
28,20250101,8,2,179
29,20250101,9,2,81
30,20250101,10,2,94
31,20250101,11,2,112
32,20250101,12,2,71
33,20250101,13,2,58
34,20250101,14,2,125
35,20250101,15,2,115
36,20250101,16,2,189
37,20250101,17,2,137
38,20250101,18,2,108
39,20250101,19,2,172
40,20250101,20,2,121
41,20250101,1,3,196
42,20250101,2,3,120
43,20250101,3,3,65
44,20250101,4,3,186
45,20250101,5,3,102
46,20250101,6,3,194
47,20250101,7,3,188
48,20250101,8,3,164
49,20250101,9,3,123
50,20250101,10,3,140
51,20250101,11,3,85
52,20250101,12,3,88
53,20250101,13,3,192
54,20250101,14,3,179
55,20250101,15,3,136
56,20250101,16,3,141
57,20250101,17,3,135
58,20250101,18,3,119
59,20250101,19,3,79
60,20250101,20,3,189
61,20250101,1,4,181
62,20250101,2,4,86
63,20250101,3,4,103
64,20250101,4,4,125
65,20250101,5,4,182
66,20250101,6,4,187
67,20250101,7,4,152
68,20250101,8,4,103
69,20250101,9,4,135
70,20250101,10,4,111
71,20250101,11,4,91
72,20250101,12,4,163
73,20250101,13,4,169
74,20250101,14,4,139
75,20250101,15,4,69
76,20250101,16,4,57
77,20250101,17,4,124
78,20250101,18,4,191
79,20250101,19,4,190
80,20250101,20,4,99
81,20250101,1,5,142
82,20250101,2,5,107
83,20250101,3,5,52
84,20250101,4,5,61
85,20250101,5,5,93
86,20250101,6,5,79
87,20250101,7,5,57
88,20250101,8,5,117
89,20250101,9,5,171
90,20250101,10,5,161
91,20250101,11,5,196
92,20250101,12,5,50
93,20250101,13,5,139
94,20250101,14,5,80
95,20250101,15,5,158
96,20250101,16,5,83
97,20250101,17,5,131
98,20250101,18,5,132
99,20250101,19,5,143
100,20250101,20,5,131
101,20250101,1,6,119
102,20250101,2,6,158
103,20250101,3,6,160
104,20250101,4,6,90
105,20250101,5,6,138
106,20250101,6,6,163
107,20250101,7,6,123
108,20250101,8,6,66
109,20250101,9,6,119
110,20250101,10,6,172
111,20250101,11,6,64
112,20250101,12,6,109
113,20250101,13,6,183
114,20250101,14,6,146
115,20250101,15,6,183
116,20250101,16,6,63
117,20250101,17,6,136
118,20250101,18,6,138
119,20250101,19,6,188
120,20250101,20,6,131
121,20250101,1,7,136
122,20250101,2,7,79
123,20250101,3,7,96
124,20250101,4,7,147
125,20250101,5,7,134
126,20250101,6,7,194
127,20250101,7,7,157
128,20250101,8,7,84
129,20250101,9,7,146
130,20250101,10,7,195
131,20250101,11,7,78
132,20250101,12,7,113
133,20250101,13,7,199
134,20250101,14,7,186
135,20250101,15,7,135
136,20250101,16,7,57
137,20250101,17,7,108
138,20250101,18,7,182
139,20250101,19,7,195
140,20250101,20,7,144
141,20250101,1,8,182
142,20250101,2,8,132
143,20250101,3,8,147
144,20250101,4,8,142
145,20250101,5,8,190
146,20250101,6,8,127
147,20250101,7,8,120
148,20250101,8,8,153
149,20250101,9,8,153
150,20250101,10,8,137
151,20250101,11,8,157
152,20250101,12,8,190
153,20250101,13,8,90
154,20250101,14,8,199
155,20250101,15,8,125
156,20250101,16,8,74
157,20250101,17,8,85
158,20250101,18,8,112
159,20250101,19,8,66
160,20250101,20,8,166
161,20250101,1,9,89
162,20250101,2,9,157
163,20250101,3,9,132
164,20250101,4,9,135
165,20250101,5,9,92
166,20250101,6,9,163
167,20250101,7,9,73
168,20250101,8,9,64
169,20250101,9,9,150
170,20250101,10,9,185
171,20250101,11,9,184
172,20250101,12,9,104
173,20250101,13,9,171
174,20250101,14,9,190
175,20250101,15,9,178
176,20250101,16,9,112
177,20250101,17,9,158
178,20250101,18,9,150
179,20250101,19,9,89
180,20250101,20,9,170
181,20250101,1,10,123
182,20250101,2,10,160
183,20250101,3,10,103
184,20250101,4,10,197
185,20250101,5,10,90
186,20250101,6,10,80
187,20250101,7,10,110
188,20250101,8,10,142
189,20250101,9,10,90
190,20250101,10,10,200
191,20250101,11,10,62
192,20250101,12,10,152
193,20250101,13,10,88
194,20250101,14,10,151
195,20250101,15,10,123
196,20250101,16,10,163
197,20250101,17,10,147
198,20250101,18,10,175
199,20250101,19,10,185
200,20250101,20,10,175
201,20250101,1,11,156
202,20250101,2,11,187
203,20250101,3,11,99
204,20250101,4,11,61
205,20250101,5,11,183
206,20250101,6,11,69
207,20250101,7,11,97
208,20250101,8,11,142
209,20250101,9,11,119
210,20250101,10,11,139
211,20250101,11,11,71
212,20250101,12,11,83
213,20250101,13,11,75
214,20250101,14,11,172
215,20250101,15,11,63
216,20250101,16,11,83
217,20250101,17,11,112
218,20250101,18,11,173
219,20250101,19,11,121
220,20250101,20,11,120
221,20250101,1,12,111
222,20250101,2,12,129
223,20250101,3,12,100
224,20250101,4,12,183
225,20250101,5,12,168
226,20250101,6,12,54
227,20250101,7,12,192
228,20250101,8,12,87
229,20250101,9,12,189
230,20250101,10,12,51
231,20250101,11,12,133
232,20250101,12,12,99
233,20250101,13,12,195
234,20250101,14,12,166
235,20250101,15,12,80
236,20250101,16,12,163
237,20250101,17,12,70
238,20250101,18,12,77
239,20250101,19,12,175
240,20250101,20,12,180
241,20250101,1,13,61
242,20250101,2,13,181
243,20250101,3,13,64
244,20250101,4,13,155
245,20250101,5,13,126
246,20250101,6,13,81
247,20250101,7,13,102
248,20250101,8,13,50
249,20250101,9,13,105
250,20250101,10,13,186
251,20250101,11,13,104
252,20250101,12,13,195
253,20250101,13,13,119
254,20250101,14,13,67
255,20250101,15,13,80
256,20250101,16,13,108
257,20250101,17,13,171
258,20250101,18,13,96
259,20250101,19,13,81
260,20250101,20,13,57
261,20250101,1,14,159
262,20250101,2,14,183
263,20250101,3,14,60
264,20250101,4,14,77
265,20250101,5,14,52
266,20250101,6,14,146
267,20250101,7,14,166
268,20250101,8,14,166
269,20250101,9,14,156
270,20250101,10,14,181
271,20250101,11,14,198
272,20250101,12,14,79
273,20250101,13,14,179
274,20250101,14,14,200
275,20250101,15,14,132
276,20250101,16,14,168
277,20250101,17,14,154
278,20250101,18,14,155
279,20250101,19,14,152
280,20250101,20,14,77
281,20250101,1,15,130
282,20250101,2,15,189
283,20250101,3,15,199
284,20250101,4,15,59
285,20250101,5,15,53
286,20250101,6,15,63
287,20250101,7,15,97
288,20250101,8,15,176
289,20250101,9,15,199
290,20250101,10,15,133
291,20250101,11,15,191
292,20250101,12,15,116
293,20250101,13,15,148
294,20250101,14,15,171
295,20250101,15,15,75
296,20250101,16,15,111
297,20250101,17,15,76
298,20250101,18,15,182
299,20250101,19,15,93
300,20250101,20,15,126
301,20250101,1,16,74
302,20250101,2,16,118
303,20250101,3,16,183
304,20250101,4,16,195
305,20250101,5,16,196
306,20250101,6,16,134
307,20250101,7,16,165
308,20250101,8,16,187
309,20250101,9,16,197
310,20250101,10,16,155
311,20250101,11,16,120
312,20250101,12,16,189
313,20250101,13,16,71
314,20250101,14,16,178
315,20250101,15,16,164
316,20250101,16,16,98
317,20250101,17,16,144
318,20250101,18,16,57
319,20250101,19,16,138
320,20250101,20,16,96
321,20250101,1,17,159
322,20250101,2,17,187
323,20250101,3,17,191
324,20250101,4,17,183
325,20250101,5,17,157
326,20250101,6,17,115
327,20250101,7,17,162
328,20250101,8,17,128
329,20250101,9,17,59
330,20250101,10,17,176
331,20250101,11,17,165
332,20250101,12,17,191
333,20250101,13,17,188
334,20250101,14,17,95
335,20250101,15,17,156
336,20250101,16,17,139
337,20250101,17,17,158
338,20250101,18,17,133
339,20250101,19,17,94
340,20250101,20,17,128
341,20250101,1,18,80
342,20250101,2,18,170
343,20250101,3,18,143
344,20250101,4,18,116
345,20250101,5,18,159
346,20250101,6,18,98
347,20250101,7,18,167
348,20250101,8,18,174
349,20250101,9,18,73
350,20250101,10,18,70
351,20250101,11,18,95
352,20250101,12,18,179
