store_key,store_name,phone_number,city_key
1,Portland Store #63,(817) 164-2148,1
2,Portland Store #10,(737) 638-4311,1
3,Portland Store #29,(798) 753-1120,1
4,Charlotte Store #27,(713) 356-6637,2
5,Charlotte Store #68,(982) 356-8688,2
6,San Diego Store #10,(107) 935-3763,3
7,San Diego Store #64,(476) 960-2817,3
8,San Diego Store #4,(328) 386-4544,3
9,Jacksonville Store #65,(198) 567-4624,4
10,San Antonio Store #85,(914) 978-7221,5
11,San Antonio Store #11,(413) 424-1202,5
12,Denver Store #21,(436) 617-5591,6
13,Denver Store #9,(824) 654-3079,6
14,Denver Store #58,(196) 818-5877,6
15,Miami Store #91,(115) 888-7577,7
16,Miami Store #57,(422) 575-8303,7
17,Washington Store #25,(927) 191-4330,8
18,Washington Store #84,(102) 147-8362,8
19,Chicago Store #49,(482) 594-3035,9
20,Chicago Store #4,(637) 600-7823,9
21,Philadelphia Store #54,(965) 161-4477,10
22,Philadelphia Store #31,(467) 357-9716,10
23,Philadelphia Store #28,(242) 242-3430,10
